"","Latitude","Longitude"
"1",61.21,-149.78
"2",61.14,-149.84
"3",61.11,-149.85
"4",61.13,-149.89
"5",61.14,-149.86
"6",61.19,-149.87
"7",61.22,-149.82
"8",61.18,-149.98
"9",61.18,-149.88
"10",61.21,-149.74
"11",61.2,-149.74
"12",61.14,-149.84
"13",61.23,-149.74
"14",61.14,-149.92
"15",61.18,-149.84
"16",61.23,-149.75
"17",61.14,-149.96
"18",61.22,-149.89
"19",61.13,-149.88
"20",61.15,-149.95
"21",61.17,-149.98
"22",61.19,-149.92
"23",61.23,-149.74
"24",61.22,-149.89
"25",61.32,-149.57
"26",61.33,-149.57
"27",61.35,-149.55
"28",64.84,-147.81
"29",64.85,-147.7
"30",64.84,-147.82
"31",64.82,-147.87
"32",64.85,-147.69
"33",61.26,-149.68
"34",64.83,-147.65
"35",59.64,-151.54
"36",58.36,-134.55
"37",58.36,-134.56
"38",55.35,-131.67
"39",57.81,-152.37
"40",64.76,-147.35
"41",61.6,-149.13
"42",61.6,-149.12
"43",60.13,-149.43
"44",60.49,-151.05
"45",60.48,-151.07
"46",61.58,-149.41
"47",61.58,-149.44
"48",61.58,-149.41
"49",61.58,-149.41
"50",33.23,-86.81
"51",33.22,-86.8
"52",33.21,-86.83
"53",34.78,-86.95
"54",32.61,-85.46
"55",32.61,-85.48
"56",32.6,-85.49
"57",33.33,-86.93
"58",33.43,-86.71
"59",33.53,-86.72
"60",33.51,-86.8
"61",33.56,-86.75
"62",33.45,-86.83
"63",33.42,-86.67
"64",33.46,-86.78
"65",33.5,-86.81
"66",33.5,-86.81
"67",33.51,-86.8
"68",33.56,-86.75
"69",33.51,-86.79
"70",33.4,-86.81
"71",33.37,-86.81
"72",33.5,-86.8
"73",33.6,-86.64
"74",34.15,-86.84
"75",30.65,-87.91
"76",34.59,-86.96
"77",34.56,-87
"78",31.27,-85.45
"79",34.8,-87.68
"80",34.84,-87.64
"81",30.38,-87.68
"82",33.61,-86.81
"83",33.99,-86.08
"84",33.65,-86.82
"85",30.3,-87.68
"86",33.47,-86.77
"87",33.36,-86.85
"88",33.42,-86.7
"89",33.4,-86.83
"90",33.38,-86.81
"91",33.38,-86.81
"92",34.77,-86.59
